#stages0 = writecat:docker:DR9.6.7
#stages1 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.5b
#stages2 = writecat:docker:DR9.6.7b
#stages3 = writecat:docker:DR9.6.8
#stages4 = writecat:docker:DR9.6.5
#stages5 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.7b
3211m017 file0_rs0_skip0 stages5
3211m020 file0_rs0_skip0 stages0
3211m022 file0_rs0_skip0 stages5
3211m025 file0_rs0_skip0 stages0
3211m027 file0_rs0_skip0 stages1
3211m030 file0_rs0_skip0 stages0
3211m065 file0_rs0_skip0 stages5
3211p000 file0_rs0_skip0 stages5
3211p002 file0_rs0_skip0 stages5
3211p005 file0_rs0_skip0 stages5
3211p007 file0_rs0_skip0 stages5
3211p010 file0_rs0_skip0 stages5
3211p015 file0_rs0_skip0 stages5
3211p017 file0_rs0_skip0 stages5
3211p020 file0_rs0_skip0 stages5
3211p022 file0_rs0_skip0 stages4
3211p025 file0_rs0_skip0 stages1
3211p027 file0_rs0_skip0 stages5
3211p030 file0_rs0_skip0 stages5
3211p062 file0_rs0_skip0 stages1
3211p065 file0_rs0_skip0 stages5
3211p067 file0_rs0_skip0 stages5
3211p070 file0_rs0_skip0 stages1
3212m045 file0_rs0_skip0 stages1
3212m047 file0_rs0_skip0 stages1
3212m050 file0_rs0_skip0 stages4
3212p045 file0_rs0_skip0 stages5
3212p047 file0_rs0_skip0 stages5
3212p050 file0_rs0_skip0 stages5
3212p052 file0_rs0_skip0 stages5
3212p055 file0_rs0_skip0 stages4
3212p057 file0_rs0_skip0 stages4
3212p060 file0_rs0_skip0 stages5
3213m002 file0_rs0_skip0 stages5
3213m005 file0_rs0_skip0 stages5
3213m007 file0_rs0_skip0 stages5
3213m010 file0_rs0_skip0 stages5
3213m012 file0_rs0_skip0 stages5
3213m015 file0_rs0_skip0 stages5
3213m017 file0_rs0_skip0 stages5
3213m020 file0_rs0_skip0 stages5
3213m022 file0_rs0_skip0 stages5
3213m025 file0_rs0_skip0 stages5
3213m027 file0_rs0_skip0 stages5
3213m030 file0_rs0_skip0 stages5
3213m032 file0_rs0_skip0 stages4
3213m035 file0_rs0_skip0 stages0
3213m037 file0_rs0_skip0 stages4
3213m040 file0_rs0_skip0 stages1
3213m042 file0_rs0_skip0 stages4
3213m070 file0_rs0_skip0 stages5
